"ID","Area","Feature","User Story","Expected Behavior","Code Refs","Test Status","Error / Notes"
"INS-02","Instances","Profile discovery & listing (main process)","As a player, I want the launcher to find every valid install (launcher-managed and Steam) automatically, so that profiles I created elsewhere still appear without manual setup.","list() scans the instances root, reads each folder's .bapbap-instance.json, and only keeps folders that are valid game folders (contain the manifest's executable and data folder). It also auto-detects Steam installs via registry/library-folders lookup and tags them with a compatibility warning. Duplicate ids are de-duplicated preferring official-managed then most recently updated; results are sorted alphabetically by profile name. Broken metadata is silently skipped.","src/main/services/core/instance.service.ts:63 ; src/main/services/core/instance.service.ts:88 ; src/main/services/core/instance.service.ts:129 ; src/main/services/core/instance.service.ts:139 ; src/main/services/core/instance.service.ts:467 ; src/main/services/core/instance.service.ts:525","PASS","instance.service.ts list() reads .bapbap-instance.json (81-86), gates on isValidGameFolder (88), detects Steam with warning (129/581), de-dupes via pickPreferredInstance preferring official then newest (663-673), sorts by profileName (139), swallows broken metadata (124)."
"INS-03","Instances","Install an official game version per track","As a player, I want to install the recommended official build for a chosen mode (Standard or Boss Rush) with one click, so that I get a ready-to-play profile without picking versions manually.","Each non-bundle hero panel resolves the primary installable/unlocked official version for its track and, when not yet installed, the Install CTA calls installOfficial with the version id and an auto-suggested profile name. The service validates the version exists in the manifest, requires the name, blocks locked versions, downloads+extracts the archive (with SHA256), verifies it is a valid BAPBAP root, installs MelonLoader, writes instance metadata + content state, and returns the new instance. On failure it deletes the partial folder and surfaces an error.","src/renderer/app/workspaces/InstancesWorkspace.tsx:275 ; src/renderer/app/workspaces/InstancesWorkspace.tsx:287 ; src/main/services/core/instance.service.ts:153 ; src/main/services/core/instance.service.ts:173 ; src/main/services/core/instance.service.ts:235 ; src/main/services/core/instance.service.ts:286 ; src/renderer/helpers/official-version-visibility.ts:50","PASS","installOfficial validates version (161-164), requires name (166-169), blocks locked (171-175), downloads+SHA256 (198-233), verifies BAPBAP root (235-237), installs MelonLoader (247), writes metadata+content state (274-275), deletes partial folder on failure (287)."
"INS-04","Instances","Auto-suggested unique profile name","As a player installing a build, I want a sensible default profile name that won't collide with an existing one, so that I can install the same build more than once without naming conflicts.","suggestProfileName returns 'Standard' or 'Boss Rush' based on track; if that name is already taken (case-insensitive) it appends the next free numeric suffix (e.g. 'Standard 2'). The main process separately sanitizes the name into a folder and, if the folder exists, allocates 'name-2', 'name-3', etc.","src/renderer/helpers/instances-ui.ts:63 ; src/main/services/core/instance.service.ts:474 ; src/main/services/core/instance.service.ts:655","PASS","suggestProfileName (instances-ui.ts:63-74) returns track base name, case-insensitive collision check, next free suffix. allocateProfileDestination (instance.service.ts:474-485) sanitizes folder and allocates name-2/name-3. Behaviors align."
"INS-05","Instances","Live official install progress banner","As a player, I want to watch download/extract progress while a build installs, so that I know the launcher is working and how far along it is.","While an install is busy a card appears above the hero showing a human label and a progress bar. getInstallStateLabel maps states to 'Preparing files...', 'Downloading N%', 'Extracting files...', 'Finalizing profile...', 'Profile ready', or the error message; isInstallStateBusy is true during preparing/downloading/extracting/writingMetadata. The service emits these states with progressPercent/downloadedBytes as the download streams.","src/renderer/app/workspaces/InstancesWorkspace.tsx:322 ; src/renderer/app/workspaces/InstancesWorkspace.tsx:328 ; src/renderer/helpers/instances-ui.ts:85 ; src/renderer/helpers/instances-ui.ts:89 ; src/main/services/core/instance.service.ts:187 ; src/main/services/core/instance.service.ts:222","PASS","getInstallStateLabel (instances-ui.ts:89-106) maps all states incl. 'Downloading N%'; isInstallStateBusy (85-87) covers preparing/downloading/extracting/writingMetadata; service emits matching states (187,205,214,222,239,277). Banner renders label+progress (InstancesWorkspace.tsx:322-330)."
"INS-06","Instances","Bundle install with live progress","As a player, I want to install the curated Battle Royale bundle and see its multi-stage progress, so that I can get a complete auto-updating package in one action.","The bundle hero panel reads the primary bundle's version/art/installed state. If installed the CTA goes to Launch; otherwise it calls installBundle with the bundle id. A separate progress card under the hero shows the current stage label (Resolving…/Downloading…/Verifying…/Extracting…/Installing…) and a progress bar while bundleProgress.status is not idle/done/failed.","src/renderer/app/workspaces/InstancesWorkspace.tsx:246 ; src/renderer/app/workspaces/InstancesWorkspace.tsx:256 ; src/renderer/app/workspaces/InstancesWorkspace.tsx:358 ; src/renderer/app/workspaces/InstancesWorkspace.tsx:29","PASS","Bundle panel reads bundles[0] version/art/installed (245-273); installed→launch else installBundle. Progress card (358-365) shows BUNDLE_PROGRESS_LABEL stages (29-35) and bar while bundleInstalling excludes idle/done/failed (247-251)."
"INS-07","Instances","Verify an instance","As a player, I want the launcher to confirm an installed profile is still a valid game folder, so that I can trust it will launch and catch a broken/moved install.","verify(instanceId) looks the instance up in the current list and returns true only if its path still contains the manifest's executable and data folder; it returns false for unknown ids or folders missing those files.","src/main/services/core/instance.service.ts:302 ; src/main/services/core/instance.service.ts:467","PASS","verify (instance.service.ts:302-309) looks up instance in list, returns isValidGameFolder(path) which checks exe+data folder (467-472); returns false for unknown ids and missing files."
"INS-08","Instances","Remove an instance","As a player, I want to delete a launcher-managed profile, so that I can reclaim disk space, while being protected from accidentally deleting installs the launcher does not own.","remove(instanceId) deletes the instance folder, but only after confirming the instance is officialManaged with instanceSource 'official-managed' (unless explicitly bypassed) and that its path is inside the managed instances root; otherwise it throws. Unknown ids are a no-op. Steam/non-managed installs cannot be deleted from the launcher. Removing a Bundle is allowed as the documented recovery path.","src/main/services/core/instance.service.ts:362 ; src/main/services/core/instance.service.ts:368 ; src/main/services/core/instance.service.ts:373 ; src/main/services/core/instance.service.ts:487","PASS","remove (instance.service.ts:362-377) no-ops unknown ids, requires officialManaged && instanceSource 'official-managed' unless bypassed, enforces isManagedInstancePath (373-375). assertMutable intentionally not called so Bundle removal is permitted per comment (506-507)."
"INS-09","Instances","Three-up mode-select hero","As a player, I want a bold three-panel hero for Standard, Boss Rush, and Battle Royale, so that I can choose a mode and immediately see its status and primary action.","Three panels render side by side, each with mode accent color, eyebrow, title, version label, and cover art (with procedural fallback). A status pill shows Installed / Ready (or Bundle) / Soon based on installed+available. The selected panel expands (flex 1.6), brightens its art, and reveals a Play (installed) or Install (available) CTA that runs the panel's action; unselected panels lift on hover. Default selection is first installed, else first available, else first.","src/renderer/app/workspaces/InstancesWorkspace.tsx:38 ; src/renderer/app/workspaces/InstancesWorkspace.tsx:73 ; src/renderer/app/workspaces/InstancesWorkspace.tsx:178 ; src/renderer/app/workspaces/InstancesWorkspace.tsx:213 ; src/renderer/app/workspaces/InstancesWorkspace.tsx:301 ; src/renderer/app/workspaces/InstancesWorkspace.tsx:347","PASS","Three panels render with accent/eyebrow/title/version/art+procedural fallback (141-151), status pill Installed/Ready-or-Bundle/Soon (178-192), selected expands flex-1.6 (118) brightens art (137) reveals CTA (213-227); default index first-installed→available→first (301-306). [+ executable component test: InstancesWorkspace.test.tsx (2026-06-22)]"
"INS-10","Instances","Hero view-mode toggle / panel selection","As a player, I want to switch the focused mode by click, keyboard, or arrow keys, so that I can browse modes accessibly without a mouse.","Clicking a panel (or pressing Enter/Space on it) selects that track via setSelectedTrack. The hero container is a radiogroup where ArrowRight/ArrowLeft call moveSelection, cycling the active track with wraparound. Pointer movement applies a parallax tilt to art and title unless reduced motion is preferred. aria-pressed reflects the selected panel.","src/renderer/app/workspaces/InstancesWorkspace.tsx:307 ; src/renderer/app/workspaces/InstancesWorkspace.tsx:310 ; src/renderer/app/workspaces/InstancesWorkspace.tsx:337 ; src/renderer/app/workspaces/InstancesWorkspace.tsx:104 ; src/renderer/app/workspaces/InstancesWorkspace.tsx:89","PASS","onSelect=setSelectedTrack on click and Enter/Space (107-113,353); radiogroup ArrowRight/Left→moveSelection with modulo wraparound (310-314,337-345); parallax tilt skipped when reduceMotion (89-100); aria-pressed=selected (106). [+ executable component test: InstancesWorkspace.test.tsx (2026-06-22)]"
"INS-11","Instances","Locked / coming-soon version handling","As a player, I want builds that are not yet unlocked to show as unavailable rather than failing on install, so that I am not misled into a broken action.","resolvePrimaryOfficialVersionForTrack only returns versions that are installable (valid direct download URL) or already installed AND currently unlocked per trusted-time; if none qualify the panel shows 'Coming soon' with a neutral 'Soon' pill and a disabled CTA. On the backend, installOfficial re-checks unlock status against trusted time and throws a locked error if the build is not yet available.","src/renderer/helpers/official-version-visibility.ts:38 ; src/renderer/helpers/official-version-visibility.ts:61 ; src/renderer/app/workspaces/InstancesWorkspace.tsx:282 ; src/main/services/core/instance.service.ts:171","FIXED (re-verified)","Wired useTrustedTime into the hero; resolvePrimaryOfficialVersionForTrack now receives trustedNowMs + availability, so past-unlock gated builds resolve correctly. Typecheck + full suite green. [+ executable component test: InstancesWorkspace.test.tsx (2026-06-22)]"
"LAU-01","Launch","Select a launch profile","As a player, I want to pick which game profile to launch from a list, so that I can run the exact version/bundle I want.","The Profiles panel lists every installed instance showing its profile name (uppercase) and versionId, with a count badge. Clicking a row selects it (highlighted as active). On first render the selection defaults to the saved default profile id, or the first instance if none is saved. The Launch button is disabled until a profile is selected.","C:/Users/Administrator/Downloads/BAPBAPLauncherV4/src/renderer/app/workspaces/LaunchWorkspace.tsx:41 ; C:/Users/Administrator/Downloads/BAPBAPLauncherV4/src/renderer/app/workspaces/LaunchWorkspace.tsx:44 ; C:/Users/Administrator/Downloads/BAPBAPLauncherV4/src/renderer/app/workspaces/LaunchWorkspace.tsx:123 ; C:/Users/Administrator/Downloads/BAPBAPLauncherV4/src/renderer/app/workspaces/LaunchWorkspace.tsx:171","PASS","LaunchWorkspace.tsx:116-141 lists each instance (uppercase profileName + versionId) with count badge; click sets selectedId (Row active). Initial selection defaults to launchDefaultProfileId then instances[0] (lines 42-48). Launch disabled until selectedId set (line 171). Matches spec. [+ executable component test: LaunchWorkspace.test.tsx (2026-06-22)] ADDED 2026-06-22: Start tab now renders a full-bleed per-track background video (bapbap/steam→standard, boss-rush→boss-rush, bundle→battle-royale via resolveModeVideoKey), muted+looping+cross-fading on profile switch, with a top-right pause/play toggle. Honors the new launchAutoplayVideos setting (default true) and OS reduced-motion — both fall back to the static cover image. Videos bundled at src/renderer/assets/videos/launcher-*.mp4."
"LAU-02","Launch","Set a default profile","As a player, I want to mark a profile as my default, so that it is pre-selected every time I open the Start screen.","When a profile is selected that is not already the default, a 'Set as default profile' button appears and persists the choice via the launchDefaultProfileId setting. The current default profile is marked with a gold star in the list and is used as the initial selection on load.","C:/Users/Administrator/Downloads/BAPBAPLauncherV4/src/renderer/app/workspaces/LaunchWorkspace.tsx:179 ; C:/Users/Administrator/Downloads/BAPBAPLauncherV4/src/renderer/app/workspaces/LaunchWorkspace.tsx:134 ; C:/Users/Administrator/Downloads/BAPBAPLauncherV4/src/renderer/app/workspaces/LaunchWorkspace.tsx:41","PASS","'Set as default profile' button shows only when selectedId && defaultProfileId!==selectedId (line 179) and persists launchDefaultProfileId (line 182). Gold star marks default (line 134) and it seeds initial selection (line 42). Correct. [+ executable component test: LaunchWorkspace.test.tsx (2026-06-22)]"
"LAU-03","Launch","Empty-state guidance when no profiles exist","As a new player with no installed profiles, I want clear guidance, so that I know to install a version before I can play.","When there are zero instances, the workspace replaces the launch UI with a 'No profiles yet' card and a 'Go to Instances' button that switches to the instances workspace.","C:/Users/Administrator/Downloads/BAPBAPLauncherV4/src/renderer/app/workspaces/LaunchWorkspace.tsx:92 ; C:/Users/Administrator/Downloads/BAPBAPLauncherV4/src/renderer/app/workspaces/LaunchWorkspace.tsx:104","PASS","When instances.length===0 the launch UI is replaced by the 'No profiles yet' card with a 'Go to Instances' button calling setActiveWorkspace('instances') (LaunchWorkspace.tsx:92-107). Matches spec. [+ executable component test: LaunchWorkspace.test.tsx (2026-06-22)]"
"LAU-04","Launch","Start the game (MelonLoader setup + spawn)","As a player, I want to press Launch and have the game start with MelonLoader ready, so that mods load without manual setup.","On launch the service sets status to 'launching', logs a MelonLoader check, then ensures MelonLoader is installed/healthy (downloading and extracting the correct x64/x86 build, normalizing config, and verifying) before spawning the game executable from the instance directory. On successful spawn the status becomes 'running' with the child PID and a 'Process started' log line. If MelonLoader setup fails, status becomes 'failed' and the error is logged.","C:/Users/Administrator/Downloads/BAPBAPLauncherV4/src/main/services/core/launch.service.ts:58 ; C:/Users/Administrator/Downloads/BAPBAPLauncherV4/src/main/services/core/launch.service.ts:94 ; C:/Users/Administrator/Downloads/BAPBAPLauncherV4/src/main/services/core/launch.service.ts:113 ; C:/Users/Administrator/Downloads/BAPBAPLauncherV4/src/main/services/core/launch.service.ts:144 ; C:/Users/Administrator/Downloads/BAPBAPLauncher/src/main/services/melonloader.service.ts:70","PASS","launch.service.ts:81-154: sets 'launching', logs MelonLoader check, awaits melonLoader.ensureInstalled, spawns executable from instance.path, then 'running' with pid + 'Process started' on spawn; MelonLoader failure sets 'failed' and logs error (96-108). Orchestration matches; deep ML x64/x86 internals live in a separate service not read here."
"LAU-05","Launch","First-run setup notice","As a player launching a profile for the first time, I want to be told why startup is slow, so that I don't think it has frozen.","If the instance's melonLoaderFirstRunPending flag is set, an extra log line warns that the first start can take longer while MelonLoader finishes setup. Once the process spawns, the first-run-pending flag is cleared so the notice no longer shows on subsequent launches.","C:/Users/Administrator/Downloads/BAPBAPLauncherV4/src/main/services/core/launch.service.ts:64 ; C:/Users/Administrator/Downloads/BAPBAPLauncherV4/src/main/services/core/launch.service.ts:90 ; C:/Users/Administrator/Downloads/BAPBAPLauncherV4/src/main/services/core/launch.service.ts:14 ; C:/Users/Administrator/Downloads/BAPBAPLauncherV4/src/main/services/core/launch.service.ts:146","PASS","Backend: melonLoaderFirstRunPending read at line 64; extra warning logged at 90-92; flag cleared via markMelonLoaderFirstRunCompleted on spawn (line 146) so notice doesn't reappear. Renderer now also surfaces a gold first-run warning banner on the selected profile (LaunchWorkspace.tsx selectedInstance.melonLoaderFirstRunPending) that clears when switching to a profile without the flag. [+ executable component test: LaunchWorkspace.test.tsx (2026-06-22)]"
"LAU-06","Launch","Duplicate / in-flight launch guard","As a player, I want the launcher to prevent starting a second session while one is already in progress, so that I don't spawn duplicate game processes.","Calling launch while status is 'launching', 'running', or 'stopping' throws 'A launcher-managed game session is already running.' In the UI the Launch button is replaced by a Stop button whenever the session is running or busy, so a second launch cannot be triggered.","C:/Users/Administrator/Downloads/BAPBAPLauncherV4/src/main/services/core/launch.service.ts:59 ; C:/Users/Administrator/Downloads/BAPBAPLauncherV4/src/renderer/app/workspaces/LaunchWorkspace.tsx:154 ; C:/Users/Administrator/Downloads/BAPBAPLauncherV4/src/renderer/app/workspaces/LaunchWorkspace.tsx:51","PASS","launch.service.ts:59 throws 'A launcher-managed game session is already running.' for launching/running/stopping; UI swaps Launch for Stop whenever isRunning||isBusy (LaunchWorkspace.tsx:154). Duplicate launch prevented."
"LAU-07","Launch","Stop a running game","As a player, I want to stop the running game from the launcher, so that I can quit cleanly without leaving the Stop button in a stuck state.","Pressing Stop sets status to 'stopping' (button disabled to avoid repeats), logs 'Stopping...', and kills the process tree (taskkill /T /F on Windows, SIGTERM elsewhere). When the process exits after a launcher-initiated stop it logs 'Game stopped from launcher.'; otherwise it logs the exit code. Stopping with no running session throws 'No launcher-managed game session is running.', and a failed stop restores the 'running' state and logs the failure.","C:/Users/Administrator/Downloads/BAPBAPLauncherV4/src/main/services/core/launch.service.ts:210 ; C:/Users/Administrator/Downloads/BAPBAPLauncherV4/src/main/services/core/launch.service.ts:279 ; C:/Users/Administrator/Downloads/BAPBAPLauncherV4/src/main/services/core/launch.service.ts:186 ; C:/Users/Administrator/Downloads/BAPBAPLauncherV4/src/renderer/app/workspaces/LaunchWorkspace.tsx:155","FIXED (re-verified)","Stop flow correct: stopping state + disabled button, taskkill /T /F, 'Game stopped from launcher.' on launcher-initiated exit, throw when none running, restore running on failure. Prior defect (Stop clickable during 'launching' where stop() throws and silently no-ops) fixed: button now disabled={status !== 'running'} so it only enables once the process is actually running. Typecheck + full suite green. [+ executable component test: LaunchWorkspace.test.tsx (2026-06-22)]"
"LAU-08","Launch","Hide-console (MelonLoader console) toggle","As a player, I want to control whether the MelonLoader console window shows, so that I can keep a clean screen or see the console when debugging.","Launch reads the launchShowMelonConsole setting; when false it passes --melonloader.hideconsole and spawns with windowsHide so no console appears, when true it omits the flag and shows the console. The chosen value is persisted back to launchShowMelonConsole after spawn. Custom args from the setting are parsed with Windows-style quoting/escaping rules and appended.","C:/Users/Administrator/Downloads/BAPBAPLauncherV4/src/main/services/core/launch.service.ts:70 ; C:/Users/Administrator/Downloads/BAPBAPLauncherV4/src/main/services/core/launch.service.ts:116 ; C:/Users/Administrator/Downloads/BAPBAPLauncherV4/src/main/services/core/launch.service.ts:207 ; C:/Users/Administrator/Downloads/BAPBAPLauncherV4/src/main/services/core/launch-args.ts:1 ; C:/Users/Administrator/Downloads/BAPBAPLauncherV4/src/renderer/app/workspaces/LaunchWorkspace.tsx:80","PASS (spec corrected)","Hide-console toggle works fully: --melonloader.hideconsole + windowsHide when off, persisted after spawn. splitWindowsArgs is wired into the spawn path but has no V4 UI/AppSettings surface — the 'custom args from the setting' clause described a V2 feature V4 never exposed; not a user-facing defect."
